axmax,axmin,axvar,aymax,aymin,azvar,azmax,azmin,azvar,label
1.184570313,-1.672851563,0.217476688,1.16796875,-0.017578125,0.037691444,1.045410156,-0.700195313,0.037691444,1
1.478515625,-1.606933594,0.180104185,1.393066406,-0.000488281,0.038038439,1.188476563,-0.740234375,0.038038439,0
1.28515625,-1.612304688,0.187969582,1.015625,-0.001953125,0.045917249,1.09375,-0.309082031,0.045917249,1
1.939941406,-1.716796875,0.184357977,1.65234375,-0.001464844,0.044450766,1.234863281,-0.9609375,0.044450766,1
1.173339844,-1.692871094,0.190658169,1.055175781,-0.316894531,0.038834535,1.026855469,-0.202148438,0.038834535,0
1.34375,-1.949707031,0.202052754,1.030761719,-0.000488281,0.039930486,1.047363281,-0.674316406,0.039930486,1
1.177734375,-1.956542969,0.2035014,0.984863281,-0.055175781,0.047151698,1.041992188,-0.739257813,0.047151698,1
1.259765625,-1.814453125,0.251228768,1.022460938,-0.261230469,0.042331976,1.086425781,-0.415527344,0.042331976,0
1.579589844,-2.010253906,0.278116669,0.994628906,-0.010253906,0.042255093,1.176269531,-0.663085938,0.042255093,1
1.706054688,-2.01953125,0.199381452,1.571289063,-0.015625,0.043740083,1.058105469,-0.715332031,0.043740083,0
2.707519531,-2.666992188,0.197402932,4.774414063,-0.000488281,0.056675233,1.811035156,-1.578613281,0.056675233,0
1.349121094,-1.647460938,0.219775388,1.162109375,-1.053710938,0.031594498,1.092773438,-0.1171875,0.031594498,1
1.77734375,-2.47265625,0.230538112,1.737792969,-0.001953125,0.051779532,2.042480469,-1.579589844,0.051779532,0
2.2734375,-1.227050781,0.144325429,1.887207031,-0.067382813,0.029534395,0.860839844,-0.225585938,0.029534395,0
1.458496094,-1.713867188,0.324225181,1.090820313,-0.013183594,0.038041782,1.088867188,-0.374511719,0.038041782,1
1.223144531,-1.981445313,0.268571055,0.976074219,-0.291015625,0.035697132,1.157714844,-0.461914063,0.035697132,0
1.5078125,-1.945800781,0.218374076,1.189453125,-0.0078125,0.041285093,1.128417969,-0.943847656,0.041285093,0
1.736328125,-1.764160156,0.214659434,1.476074219,-0.000488281,0.03259797,1.352539063,-1.029785156,0.03259797,1
1.836425781,-1.809082031,0.237606818,1.308105469,-0.0078125,0.027754483,1.040039063,-0.653320313,0.027754483,1
1.296386719,-1.641601563,0.201254672,1.065917969,-0.022460938,0.04149641,0.994628906,-1.049804688,0.04149641,0
1.180175781,-1.85546875,0.225836203,1.022460938,-0.005371094,0.038699574,0.92578125,-0.44140625,0.038699574,0
1.766113281,-1.73046875,0.226603883,1.485839844,-0.000976563,0.041203467,1.120117188,-0.8125,0.041203467,1
2.045898438,-2.087402344,0.244935966,1.519042969,-0.003417969,0.039980365,1.126464844,-1.057617188,0.039980365,1
1.246582031,-1.571777344,0.203381658,0.926757813,-0.001953125,0.033906003,0.921386719,-0.2578125,0.033906003,0
1.255371094,-1.872070313,0.205281805,0.947265625,-0.001953125,0.037705913,0.905761719,-0.399414063,0.037705913,0
