,gxmax,gxmin,gxvar,gymax,gymin,gzvar,gzmax,gzmin,gzvar,label
0,297.7090112,-275.7708329,1211.286376,219.715408,-385.4106237,2012.341778,250.1977557,-119.6969733,2012.341778,1
1,177.9933092,-266.1208256,1138.135665,199.819172,-353.9354686,2994.757096,375.7099765,-108.4398949,2994.757096,0
2,197.7958936,-218.3322012,805.1235915,191.5574948,-333.0876184,1614.887736,196.8861528,-123.1345402,1614.887736,1
3,280.2359105,-366.3605089,1534.81382,240.5304378,-367.4583989,3136.746011,440.9090302,-107.2366696,3136.746011,1
4,161.1472987,-219.7810137,794.7367974,241.069606,-329.9185945,1594.1773,227.7908805,-89.10482437,1594.1773,0
5,192.0036136,-332.1519288,816.7606408,250.9144446,-336.6070166,2128.807247,258.8644035,-102.8590361,2128.807247,1
6,230.4147401,-402.4934354,1186.522265,249.723299,-381.9921915,1282.007313,171.7259519,-101.3045649,1282.007313,1
7,191.2755505,-265.0160524,823.3557283,203.7500553,-341.9150742,1566.236238,199.495239,-87.52224195,1566.236238,0
8,246.8286051,-251.7237092,1253.501544,250.4098975,-347.7242359,2380.03016,300.6968998,-103.8464841,2380.03016,1
9,242.6662187,-283.4780887,1401.657948,289.3954643,-422.8547302,2522.050349,280.849998,-144.9220521,2522.050349,0
10,360.1283419,-822.5299401,5702.661617,311.4150906,-594.8593718,3339.477533,372.146979,-178.7673651,3339.477533,0
11,243.9967721,-168.8590354,1069.957182,225.0336744,-356.1681522,2021.010884,245.1816456,-93.4035821,2021.010884,1
12,392.9946383,-474.9532894,2878.788954,310.9861658,-575.8727765,2175.17931,244.2471439,-125.2757857,2175.17931,0
13,110.1647607,-508.0617752,1624.070668,161.9490245,-271.1492376,2426.857781,358.7728996,-72.58929302,2426.857781,0
14,253.794987,-309.7496331,1049.428258,225.6572051,-340.9564232,1987.876635,242.7736804,-103.3871969,1987.876635,1
15,203.7535583,-232.7690368,915.4541283,168.7549771,-363.9256542,1746.078451,238.7508528,-76.78469971,1746.078451,0
16,294.8152573,-368.9661755,1424.988557,154.3444909,-387.6393602,2896.387803,389.9343824,-79.56192184,2896.387803,0
17,233.7488638,-342.4957925,1282.156902,184.6751859,-413.7000821,3237.685379,447.8846658,-95.34061502,3237.685379,1
18,148.8638746,-305.06471,1129.288256,207.9598397,-344.3711928,3363.653742,435.7022222,-97.24828139,3363.653742,1
19,260.5044242,-336.5056716,1096.309048,249.2957581,-359.1123778,2075.21963,242.3710678,-113.9487527,2075.21963,0
20,261.9474879,-252.6847652,1087.740318,204.8125641,-369.2953634,1824.78439,223.7604626,-91.93552527,1824.78439,0
21,310.7918398,-327.321247,1990.35279,222.2254173,-348.761916,3252.693669,390.4140144,-98.87742093,3252.693669,1
22,210.8192217,-250.9491097,1562.136475,194.5414957,-380.8237577,4137.041252,477.8456799,-115.4277214,4137.041252,1
23,206.2712225,-226.7927937,973.2564936,184.7313392,-330.6685189,1805.153567,194.6146668,-113.8882461,1805.153567,0
24,254.4065586,-258.34824,992.8856116,201.9901846,-320.002544,1933.330563,237.1445921,-95.25321556,1933.330563,0
25,291.0616296,-285.7825034,1251.30262,225.1367857,-365.8637103,2007.710278,237.3236181,-120.8400556,2007.710278,1
26,182.4388927,-270.562098,1159.16083,207.9795367,-355.9859185,3153.119848,390.2015724,-107.0778595,3153.119848,0
27,204.0794445,-227.3070533,801.4878031,182.249865,-343.6382766,1545.589768,199.2616431,-118.103545,1545.589768,1
28,268.4588747,-377.106137,1558.896066,236.321891,-373.341281,3214.677675,424.4195757,-104.6527929,3214.677675,1
29,162.95712,-227.5127654,829.811916,237.4809445,-336.6100493,1687.131233,232.39846,-84.02733342,1687.131233,0
30,185.4858106,-330.2615618,813.427262,245.8775897,-341.4017841,2099.962531,257.0813667,-102.0273787,2099.962531,1
31,228.5532406,-396.2916757,1214.607385,245.6501942,-359.8492252,1299.845634,169.1616798,-102.6808599,1299.845634,1
32,197.2425351,-253.6895904,855.5958183,209.2322825,-339.6492904,1592.401287,203.927825,-91.53983245,1592.401287,0
33,251.2895964,-249.8162715,1290.264322,252.605035,-350.8710575,2453.14059,295.3832989,-105.712294,2453.14059,1
34,246.638691,-276.3366138,1378.521594,279.9708495,-426.6525611,2480.351911,278.9321613,-140.632821,2480.351911,0
35,365.027015,-801.0303421,5770.884335,318.8094094,-584.7978984,3184.92055,380.3600111,-178.6206614,3184.92055,0
36,246.4929133,-171.933581,1085.037028,227.3749892,-347.9187744,2053.940669,254.9008813,-93.54075207,2053.940669,1
37,416.8217419,-460.0523376,2943.100008,311.2911522,-587.2787113,2258.430753,236.8654817,-121.5159741,2258.430753,0
